,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV
18,1,86.27472606481751,1.5160382829490118,1,87,88.79426695680013,89,87.27637386339484,0.9775280898876404,0.0003869259079742893,0.9996130740920257,7.856890334743516
19,1,91.29440325277392,1.0486201316234656,1,14,93.34674762253417,57,92.29636947030667,0.24561403508771928,1.0106725167879915e-07,0.9999998989327483,16.10747958241718
20,0,102.87037028255872,1.532374046742916,0,95,105.42175386444433,16,103.88768303167308,5.9375,0.9999999997204992,2.795007244037654e-10,-21.99801623127276
21,0,107.92242349253502,0.9986097810324281,0,43,109.92487761017401,7,108.92459316638997,6.142857142857143,0.999981559450743,1.8440549257071713e-05,-10.900940113384884
22,1,112.42587908927817,0.8985756477923132,1,50,114.34456333139678,62,113.44385435531149,0.8064516129032258,0.00034932562924183674,0.9996506743707582,7.959156649033963
23,0,116.8455098970444,1.415828347671777,1,87,119.28127182711614,85,117.86352387903025,1.0235294117647058,0.001755469245608543,0.9982445307543915,6.343262069500504
24,0,121.78168703598203,1.0992258388432674,0,86,123.88479553232901,59,122.78341266151983,1.4576271186440677,0.9614476408997392,0.03855235910026077,-3.216422813910316
25,0,126.38503967988072,0.9659718337352388,0,40,128.3709466762375,15,127.40294264978729,2.6666666666666665,0.9991220013002605,0.0008779986997395035,-7.036987060898403
26,1,130.87108889815863,1.632885413360782,1,56,133.5076211177511,46,131.87290499260416,1.2173913043478262,0.4424436299424981,0.5575563700575019,0.23125054406080683
27,0,136.00804896856425,1.2321452274918556,1,22,138.26012422289932,31,137.02629761665594,0.7096774193548387,0.017332199024519435,0.9826678009754806,4.037705132078567
28,1,140.76083967799786,1.4319025811273605,1,46,143.19719973008614,40,141.763602338091,1.15,0.3208656325523357,0.6791343674476643,0.7497965528667071
29,0,145.69811153039336,0.9978978815488517,1,56,147.7171088187024,59,146.71733874408528,0.9491525423728814,0.005762856930486282,0.9942371430695137,5.1505424060997225
30,0,150.21792224887758,0.9990743725793436,1,60,152.23608753911685,70,151.23535825690487,0.8571428571428571,0.0002752859735730695,0.9997247140264269,8.197424772849423
31,0,154.73677217948716,1.032481108151842,0,28,156.7730095256702,18,155.73847252113046,1.5555555555555556,0.9279073487871419,0.07209265121285814,-2.5549797739623403
32,1,159.273483598663,0.782549848780036,1,24,161.07595320267137,69,160.2916962961899,0.34782608695652173,1.7529581897157698e-08,0.9999999824704181,17.859375971472186
33,1,163.57615152315702,0.9325145303155296,0,41,165.52882047486492,7,164.59425044321688,5.857142857142857,0.9999677881011596,3.221189884038411e-05,-10.343142432050882
34,0,168.02935657236958,1.2327947074663825,1,71,170.2819272329216,69,169.04734961612849,1.0289855072463767,0.008567877426542414,0.9914321225734576,4.751130459201534
35,0,172.78278570005205,1.4996061243582517,0,71,175.30162496404955,64,173.8001652144012,1.109375,0.05421307821360721,0.9457869217863928,2.8590951276481182
36,1,177.8025012088474,1.1660104706534185,1,4,179.98851518769516,22,178.82070086942986,0.18181818181818182,0.0034974391951020367,0.996502560804898,5.652220667288391
37,0,182.4891299022711,1.016031171893701,0,41,184.5247181635932,22,183.50680610729614,1.8636363636363635,0.9906874527135116,0.009312547286488473,-4.667036437390612
38,1,187.02540675457567,1.415772644104436,0,14,189.4610604379559,8,188.04364789649844,1.75,0.9194180819474338,0.08058191805256626,-2.4344666677311757
39,0,191.96216976869619,1.2159801300731488,1,59,194.19848328258377,65,192.98012449155794,0.9076923076923077,0.0013800035069453376,0.9986199964930547,6.584288281962792
40,0,203.72072243975708,1.230927255062852,1,58,205.97235680627637,58,204.7395850123139,1.0,0.014566781572705412,0.9854332184272946,4.214337658455023
41,0,208.47327058186056,1.1657062738668174,1,78,210.65888436412206,65,209.49133552669082,1.2,0.2166646189680499,0.7833353810319501,1.2852103092897986
42,0,213.15935962222284,1.0325514290016145,1,55,215.2120575713925,60,214.1777366651222,0.9166666666666666,0.0029948902365872776,0.9970051097634127,5.807848313077425
43,1,217.71267347119283,1.4490395282045938,0,94,220.16593856964028,46,218.71472778730094,2.0434782608695654,0.9999685445046532,3.145549534676503e-05,-10.366905401285223
44,1,222.66612582840025,1.2489700765581802,0,12,224.93475650029723,9,223.68406395876082,1.3333333333333333,0.8173151046411553,0.1826848953588447,-1.4982619200864895
