,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
15,0,66.91321129375137,0.5987565042451024,1,6,68.53189154318534,26,67.93159390357323,0.23076923076923078,0.008383365281523947,0.991616634718476,4.77308715686638,0,58.241053534438834,0.2983382523525506,1,56,59.54263050178997,59,59.24282222497277,0.9491525423728814,1,54.005157528910786,0.04870635108090937,0,97,55.07035809569061,61,55.02055228827521,1.5901639344262295,1,68.16241613333113,0.7152305322233588,1,33,69.89784537348896,25,69.18103854567744,1.32,0.21713198237783593,0.7828680176221641,1.2824587395372666
16,0,71.03256216016598,1.2804949013516307,1,7,73.31837577559054,54,72.03627336840145,0.12962962962962962,0.00014269512965914277,0.9998573048703409,8.854657458681267,0,62.04461311828345,0.29453538986854255,1,7,63.34562119678594,54,63.04937519039959,0.12962962962962962,0,57.57160708284937,0.014987055910751224,0,62,58.606425834586844,17,58.59011848294176,3.6470588235294117,1,72.3987174720969,0.5311697653960437,1,52,73.95049680955708,68,73.41760497074574,0.7647058823529411,0.16844113617932477,0.8315588638206752,1.596715739878384
17,0,75.81908352836035,1.3492067756596953,1,77,78.17170679639094,72,76.82089370046742,1.0694444444444444,0.04324103465979012,0.9567589653402099,3.0967615740944114,1,65.84631156688556,0.1318751082289964,1,45,66.99835891416296,40,66.8648103249725,1.125,0,61.107384451432154,0.07938288222067058,0,71,62.20868613990024,69,62.12783046811819,1.0289855072463767,1,76.45109038962983,0.832201152574271,1,40,78.28666694834828,93,77.45290648774244,0.43010752688172044,0.26362110277968576,0.7363788972203142,1.0272319367749407
18,1,80.6723675369285,0.7821895179804415,1,25,82.45788228837773,37,81.67409158567898,0.6756756756756757,0.01586104618192241,0.9841389538180776,4.127900922729931,1,69.49892484000884,0.2814758394379169,1,54,70.80047533800825,78,70.51733036362566,0.6923076923076923,0,64.70944050978869,0.09807206015102565,0,37,65.81107009924017,52,65.71166510158218,0.7115384615384616,1,80.78727554064244,1.382627799641341,1,14,83.17335617844947,8,81.78910704609007,1.75,0.31361760957382323,0.6863823904261768,0.7832604529936533
19,0,84.95858530048281,1.4159062060061842,1,53,87.3777329865843,57,85.96039073192514,0.9298245614035088,0.02307074949537613,0.9769292505046239,3.7458486748420885,1,73.30120837478898,0.34844588697887957,1,66,74.65282226074487,59,74.30295849754475,1.11864406779661,0,68.31190940761007,0.08160549867898226,0,58,69.39692784310319,58,69.31396491313353,1.0,0,85.67399914097041,1.9161924282088876,1,56,88.59315018542111,59,86.67572595528327,0.9491525423728814,0.1429151580655269,0.8570848419344731,1.7912857585078015
20,0,96.9013843354769,1.0982917144428939,1,28,99.01806102995761,18,97.91861810628325,1.5555555555555556,0.28624102556670394,0.7137589744332961,0.9137111318830796,1,84.17648309073411,0.5483557339757681,1,72,85.74378084205091,51,85.19376861490309,1.411764705882353,0,78.90387914911844,0.014763055834919214,0,78,79.93720614840277,34,79.92111252504401,2.2941176470588234,1,98.11780222505331,1.115242226049304,1,26,100.25178656703793,84,99.13479619356804,0.30952380952380953,0.34653197913119715,0.6534680208688028,0.634318490464329
21,1,101.51970389345661,0.6321285404264927,1,74,103.17176250019111,60,102.53813114552759,1.2333333333333334,0.15999402762339132,0.8400059723766087,1.6582725146008972,0,88.24679219885729,0.1131721034180373,1,45,89.37962375138886,60,89.26472246344201,0.75,0,82.43825602438301,0.014523648656904697,0,28,83.47277610958554,18,83.45694520231336,1.5555555555555556,1,102.7520589621272,0.5484363264404237,1,19,104.30413538590074,37,103.75404217117466,0.5135135135135135,0.3229670494997503,0.6770329505002497,0.7401696389861779
22,0,105.67344407970086,0.7973278826102614,1,71,107.49152731220238,69,106.69249829440378,1.0289855072463767,0.03319498068537563,0.9668050193146244,3.3715981601766662,0,91.88057565223426,0.38156152819283307,1,62,93.2823327279184,16,92.89906334853731,3.875,0,85.97501354082488,0.08156994311138988,0,80,87.07531335297972,60,86.9924136325717,1.3333333333333333,1,106.8049596818164,0.8658679048530757,1,3,108.69100812193938,18,107.82323444006033,0.16666666666666666,0.41262809045553783,0.5873719095444622,0.3531115160507102
23,0,109.99370864452794,1.0304505557287484,1,38,112.04445667401887,43,111.01234488422051,0.8837209302325582,0.030549578531677835,0.9694504214683222,3.457378445621506,1,95.7829294684343,0.3150090607814491,1,17,97.10140479938127,82,96.78474082588218,0.2073170731707317,0,89.57629369827919,0.08147986908443272,0,6,90.66106917103752,26,90.5782472777646,0.23076923076923078,0,111.191041899845,1.866151164053008,0,53,114.06075138342567,15,112.19293226930313,3.533333333333333,0.11853788499619788,0.8814621150038021,2.006349408950225
24,1,114.54510082188062,0.6322245402261615,1,3,116.19720881106332,18,115.56334753055125,0.16666666666666666,0.01917204656208671,0.9808279534379133,3.934943755481312,0,99.60220302129164,0.23169176024384797,1,14,100.85389793431386,57,100.62057417468168,0.24561403508771928,0,93.16200724476948,0.09803531924262643,0,12,94.26352542685345,23,94.16413820674643,0.5217391304347826,1,116.56138012371957,1.2990402767900378,1,53,118.88058473845012,55,117.57995315361768,0.9636363636363636,0.15163632465356058,0.8483636753464394,1.7218243532540782
25,0,118.69773088488728,0.6958199720829725,1,78,120.39996389159933,65,119.70258421637118,1.2,0.12727089393381208,0.8727291060661879,1.925307367460724,0,103.35460173641331,0.28170378995127976,1,71,104.6396975251846,69,104.3563775382936,1.0289855072463767,0,96.7644022658933,0.0814846099819988,0,45,97.84903907193802,42,97.76627604290843,1.0714285714285714,0,121.38134819502011,1.94642372475937,1,62,124.3510039106477,17,122.40293198893778,3.6470588235294117,0.09230041030749181,0.9076995896925082,2.2858648886354316
26,0,122.90074512572028,0.8476693935226649,1,80,124.76952423923649,60,123.92033780924976,1.3333333333333333,0.28228067865811757,0.7177193213418824,0.9331766849373212,1,107.14256784482859,0.4816539331804961,1,24,108.6423254746478,69,108.15899766562507,0.34782608695652173,1,100.35006682458334,0.08153280732221901,0,46,101.43463963083923,36,101.35185171291232,1.2777777777777777,0,126.85152519447729,1.916155687533319,0,15,129.78773460234515,42,127.87004015012644,0.35714285714285715,0.3603023446644438,0.6396976553355562,0.5740521259263757
27,0,127.27035248582251,0.797220820793882,0,62,129.07260441593826,17,128.27373895375058,3.6470588235294117,0.9659490004502775,0.03405099954972249,-3.3452516507376293,0,111.14313357300125,0.4004395455121994,1,9,112.54703820357099,7,112.14494769577868,1.2857142857142858,1,103.9363883708138,0.04829904274083674,0,14,105.00385382561944,57,104.95427083293907,0.24561403508771928,1,132.28855850314721,1.4991599014028907,0,43,134.79108077380806,97,133.29031850257888,0.44329896907216493,0.2503599750776744,0.7496400249223256,1.0966933420286642
28,1,131.57295661326498,1.1990983905270696,1,56,133.77561134798452,46,132.5750038223341,1.2173913043478262,0.15028721017766178,0.8497127898223382,1.732350200212103,1,115.04584966087714,0.21509048296138644,1,43,116.2808895681519,93,116.06427177716978,0.46236559139784944,0,107.50485550425947,0.09833438089117408,0,7,108.60623580985703,54,108.50671229371801,0.12962962962962962,1,137.2918979586102,0.7489249387290329,1,15,139.0608521241229,42,138.31030861800537,0.35714285714285715,0.3603023446644438,0.6396976553355562,0.5740521259263757
29,0,136.27633055765182,0.8821626144926995,1,15,138.16183618316427,42,137.27810951997526,0.35714285714285715,0.0022674575958786525,0.9977325424041213,6.086826044804721,1,118.78154675289989,0.282332728151232,1,87,120.06715454137884,89,119.7834142090287,0.9775280898876404,0,111.10760924150236,0.031572530744597316,0,51,112.15862591261975,7,112.1257520490326,7.285714285714286,1,141.56158713600598,0.7322948218788952,1,56,143.3136457032524,46,142.57980777090415,1.2173913043478262,0.1319580010125606,0.8680419989874394,1.8837564016090491
30,0,140.66253445437178,1.0154101666994393,1,14,142.69822945259511,57,141.68105652113445,0.24561403508771928,0.00021194504572696893,0.999788054954273,8.458971567654887,1,122.56787375104614,0.23206232814118266,1,25,123.81919770105742,37,123.58555552177131,0.6756756756756757,1,114.65963746793568,0.014954660786315799,0,14,115.67770600388758,8,115.6614768744912,1.75,1,145.81443997449242,2.566659331554547,1,50,149.40103766857646,62,146.83279651030898,0.8064516129032258,0.17163005116016228,0.8283699488398377,1.574118557683915
31,0,145.19895142759196,1.5658455048687756,0,40,147.78478744323365,15,146.21743122278713,2.6666666666666665,0.7284434853371287,0.2715565146628714,-0.9867397710253994,1,126.31996471318416,0.13172933063469827,1,42,127.47156287543476,39,127.338367076125,1.0769230769230769,0,118.17879064544104,0.015113475499674678,0,22,119.21350431069732,31,119.19711597147398,0.7096774193548387,0,151.9029890752863,2.049942893907428,1,71,154.97245393670164,69,152.92017622897401,1.0289855072463767,0.09888065862091144,0.9011193413790886,2.209724048700456
32,0,150.28626833157614,0.6153143248520792,1,58,151.92110106837936,58,151.3041247194633,1.0,0.035857423611295625,0.9641425763887044,3.291688564649549,1,129.9724768504966,0.28148571588099003,1,15,131.2575003427919,19,130.97442726930603,0.7894736842105263,1,121.714431717759,0.08170189359225333,0,3,122.79907286958769,18,122.71617393940687,0.16666666666666666,1,157.47205354180187,1.5994624791201204,0,14,160.07494397019036,57,158.47383052879013,0.24561403508771928,0.39300045788069515,0.6069995421193048,0.4347172597658745
33,1,154.42178274714388,0.8991135214455426,1,28,156.34068332239985,82,155.44009582628496,0.34146341463414637,2.7010937728833007e-05,0.9999729890622712,10.519241661620809,1,133.75829026824795,0.431816125754267,1,14,135.1934466396924,57,134.76005777390674,0.24561403508771928,0,125.30014763446525,0.03159149386920035,0,62,126.33476016414352,17,126.30190723878331,3.6470588235294117,1,162.57548224180937,1.4491182423662394,0,4,165.02808848256245,22,163.5773204632569,0.18181818181818182,0.41161404779915767,0.5883859522008423,0.35729698075554167
34,0,158.84135789005086,0.782082851510495,1,71,160.64318828913383,64,159.8596919074189,1.109375,0.0677885675339458,0.9322114324660542,2.6211660875411185,1,137.69468140462413,0.36462286836467683,1,4,139.0629115800839,22,138.69744762568735,0.18181818181818182,1,128.83571720076725,0.13165979972109199,0,72,129.9705386783462,51,129.83754199021496,1.411764705882353,1,167.52884127246216,1.182380569865927,1,16,169.7146636187099,10,168.5306644816883,1.6,0.30273448563088745,0.6972655143691125,0.8343101407577383
35,1,163.14405683218502,0.7987856597173959,1,33,164.94632535474375,25,164.14588912762702,1.32,0.20422900550647471,0.7957709944935253,1.3600695088531938,0,141.563505950151,0.34844707208685577,1,60,142.91533711994998,61,142.56526831979863,0.9836065573770492,1,132.47236840589903,0.08173547382466495,0,42,133.5729700452648,39,133.48996168305166,1.0769230769230769,0,172.21532001369633,1.54942279541865,0,58,174.76809846190736,58,173.21706223511137,1.0,0.1342752958360558,0.8657247041639442,1.8636748254490973
36,0,167.4470639221836,0.784022998996079,1,9,169.23457729024813,7,168.44901276100427,1.2857142857142858,0.1738049247558866,0.8261950752441134,1.5588973660195418,0,145.41618590964936,0.46533433464355767,1,78,146.90144635993056,65,146.4344523716718,1.2,0,136.07410011882894,0.015059747267514467,0,24,137.10837803129107,90,137.09240845730528,0.26666666666666666,1,177.2685782641638,1.3491731954272836,1,97,179.62137417425402,61,178.27040107827634,1.5901639344262295,0.042483943442380045,0.95751605655762,3.1152162869752815
37,1,171.73333146353252,0.7821752957534045,1,72,173.53524561575614,51,172.7516188637819,1.411764705882353,0.36605156804493655,0.6339484319550635,0.549193393744777,1,149.40517554362305,0.28188551822677255,1,56,150.70397878368385,46,150.4204735129606,1.2173913043478262,1,139.60996203054674,0.09821151685900986,0,82,140.71126095368527,40,140.6117836595513,2.05,0,182.12180577893741,2.566692912019789,0,59,185.69188397354446,65,183.12368982750922,0.9076923076923077,0.1362818996304629,0.8637181003695371,1.8465209109767178
38,0,176.03711168910377,1.2474152108188719,0,95,178.30534941027872,16,177.05636936053634,5.9375,0.9994379542648754,0.0005620457351245895,-7.483365128414408,0,153.20469285733998,0.3818613800685853,1,51,154.58987631020136,7,154.20640031364746,7.285714285714286,1,143.21209986694157,0.11493486817926168,0,26,144.3467822826933,84,144.23058795835823,0.30952380952380953,0,188.19298955332488,1.6653382061049342,0,53,190.86187225207686,57,189.19506204640493,0.9298245614035088,0.1534755127611439,0.8465244872388561,1.7075981004692713
39,1,180.8060678297188,0.5799519685097039,1,19,182.40808122162707,37,181.82650594529696,0.5135135135135135,0.007744507440208825,0.9922554925597912,4.852996752393504,1,157.0906271247659,0.29828847479075193,1,75,158.39243520307355,70,158.09246574132703,1.0714285714285714,0,146.849683417473,0.014925426337867975,0,60,147.88283461425453,61,147.86660350952297,0.9836065573770492,1,193.36269536288455,1.5159914998803288,1,32,195.88221752783284,16,194.36458889301866,2.0,0.21184516513660356,0.7881548348633964,1.313838906794453
40,1,191.91470186086372,0.8485989733599126,1,43,193.78244196251035,97,192.9323765207082,0.44329896907216493,1.7421321526156497e-05,0.9999825786784738,10.957798305363317,1,167.8999269530177,0.5481337092351168,1,98,169.46645354409702,73,168.91668665013276,1.3424657534246576,1,157.40673801209778,0.045675043715164065,0,50,158.47335487464443,62,158.4263200291898,0.8064516129032258,0,205.40664201206528,1.3972837936598808,1,60,207.82337429188192,70,206.42453514086083,0.8571428571428571,0.13662687928300765,0.8633731207169923,1.8435932492891456
