,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
16,1,73.81907005852554,0.7820907881250605,1,55,75.61849058332155,95,74.83465362648712,0.5789473684210527,0.0004628707639366958,0.9995371292360633,7.677599692486245
17,1,78.11908159428276,1.0157364564947784,0,33,80.15480654663406,25,79.13729468692327,1.32,0.9376688407492065,0.06233115925079349,-2.7109353891795402
18,1,82.65516249643406,1.3823050691280514,0,72,85.0415370867704,51,83.65716071391944,1.411764705882353,0.9971171762750154,0.0028828237249846032,-5.846098018042537
19,0,87.542146665568,1.0160785791813396,1,15,89.57718776765978,42,88.55988450004952,0.35714285714285715,0.006014503487940526,0.9939854965120595,5.107548815142214
20,0,99.10122642671922,1.0153923585894518,1,54,101.13613360322779,80,100.11840248480439,0.675,0.009864853271853713,0.9901351467281463,4.6088631799027295
21,1,103.63640540506458,1.3993104608962312,0,12,106.05538396752672,9,104.65432536258595,1.3333333333333333,0.8118664432442213,0.18813355675577872,-1.4621837289854334
22,0,108.5561977927573,1.1321004276396707,0,68,110.7090981710353,63,109.57464120577788,1.0793650793650793,0.9090575989422581,0.09094240105774191,-2.3021821066364145
23,0,113.20886350492947,0.9484978998079896,0,41,115.16086835943861,22,114.21078033989761,1.8636363636363635,0.9944308740839941,0.005569125916005908,-5.184932473150661
24,0,117.66216573910788,1.147610514308326,1,22,119.83132207888411,31,118.68159601400839,0.7096774193548387,0.24922308620552514,0.7507769137944749,1.1027601315344238
25,1,122.33194390451536,1.1324267478194088,0,97,124.48443618504098,61,123.35020796000026,1.5901639344262295,0.9999104413334735,8.955866652650863e-05,-9.320527092831014
26,0,126.98519865237176,0.9488487138296477,1,45,128.95385926985182,60,128.00328809098573,0.75,0.09479262740371386,0.9052073725962861,2.2564724222077963
27,0,131.45465887291357,0.915737088653259,1,24,133.3904298893758,90,132.47270524990745,0.26666666666666666,1.2260407894482128e-06,0.9999987739592106,13.611719224612882
28,0,135.8910054929438,0.9656127234920859,0,9,137.87672048975946,7,136.90935330127832,1.2857142857142858,0.7722425386050402,0.2277574613949598,-1.2210173729190492
29,0,140.37709342717426,0.882657858368475,0,87,142.27972595422762,76,141.39535669249017,1.144736842105263,0.9771643859418521,0.022835614058147918,-3.7563335563450826
30,1,144.78039874276146,1.2496483958675526,1,58,147.04962082067505,58,145.79802042938536,1.0,0.7562293525638007,0.24377064743619922,-1.1321168928563141
31,0,149.55005894310307,1.2160231916350313,1,38,151.78594223578693,43,150.56814640638186,0.8837209302325582,0.47265694262595137,0.5273430573740486,0.10948145402743072
32,0,154.2862578893546,1.4157066689804196,1,35,156.705721586477,62,155.28815062565263,0.5645161290322581,0.006933158115526861,0.9930668418844731,4.96448254893494
33,0,159.2063663256704,1.216163438220974,0,87,161.44197228568373,85,160.22454741835827,1.0235294117647058,0.8555703532566187,0.1444296467433813,-1.7789758111274585
34,1,163.94319894944783,1.2494737789966166,0,32,166.21171031298582,16,164.96092137659434,2.0,0.9885859823718119,0.01141401762818808,-4.461433404951508
35,0,168.71285954484483,0.9493547867168672,0,71,170.68141389096854,64,169.73078621842433,1.109375,0.9406464199128142,0.0593535800871858,-2.7630548788380898
36,0,173.1825259870966,1.3660186879569665,1,59,175.55156886542682,65,174.18432509398554,0.9076923076923077,0.45537696880806644,0.5446230311919336,0.17896829064507278
37,0,178.05249883851502,0.9993094337405637,1,7,180.07100585638545,54,179.0704266972607,0.12962962962962962,7.056514643188905e-05,0.9999294348535681,9.55890364432936
38,0,182.5720756810042,0.9656830443418585,0,86,184.5576535917353,59,183.59057282237336,1.4576271186440677,0.9993005264794959,0.0006994735205041837,-7.264482901199384
39,1,187.05855472543044,1.1654348670854233,0,69,189.24374421237735,61,188.07697957061464,1.1311475409836065,0.951128495281877,0.04887150471812292,-2.968454668352652
40,0,198.75047170260223,1.2988409706158563,1,37,201.06868131872034,52,199.7684256353532,0.7115384615384616,0.08999475857766026,0.9100052414223397,2.313698928690709
41,1,203.56952714384533,1.416580543445889,1,54,206.00574260368012,78,204.58790102624334,0.6923076923076923,0.015225360252616005,0.984774639747384,4.169450347632137
42,0,208.50739909359254,0.9160566928330809,0,40,210.4416791506228,15,209.52418917726027,2.6666666666666665,0.9984928366287266,0.001507163371273457,-6.496017656652046
43,1,212.94261228421237,1.1833931455621496,0,58,215.14502681675367,6,213.96032206935342,9.666666666666666,0.9999964793117172,3.520688282787342e-06,-12.556850531891474
44,0,217.64590898749884,0.9992256808909588,0,53,219.66381511790678,15,218.66346232860815,3.533333333333333,0.9999209376048308,7.906239516921095e-05,-9.445194139445572
45,0,222.16545936092734,1.2327228063950315,1,12,224.41719288763124,23,223.18382731737802,0.5217391304347826,0.16607470636467847,0.8339252936353215,1.6137060969086487
46,1,226.91810429288307,1.1820108278188854,1,19,229.10428656765725,37,227.92084601480747,0.5135135135135135,0.04304221844778089,0.9569577815522191,3.101577816683142
47,0,231.6053409848828,0.8986447834759019,0,28,233.52316162415082,18,232.6231309674331,1.5555555555555556,0.9574902328253903,0.042509767174609706,-3.114581654898302
48,0,236.02460438612616,0.9322213951963931,0,50,237.97645279654535,7,237.04295495990664,7.142857142857143,0.9999730706344304,2.692936556957248e-05,-10.522266280190937
49,1,240.4778611882939,0.7488227188587189,1,40,242.24582697288133,93,241.4957530964748,0.43010752688172044,2.391255998346331e-05,0.9999760874400165,10.64108280189877
50,1,244.7472005992313,0.847876311163418,1,43,246.59883670398267,97,245.74966024776222,0.44329896907216493,1.9612393096779535e-05,0.9999803876069032,10.839329278104243
51,1,249.09998830623226,0.8823512911912985,1,3,251.00158063822892,18,250.11782846145798,0.16666666666666666,0.07196352916052329,0.9280364708394767,2.5569115812430927
