,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV
27,0,136.9084395256359,1.1823960121255368,1,59,139.09443335636752,65,137.9102674719179,0.9076923076923077,0.5200564847173409,0.4799435152826591,-0.08026900964963425
28,1,141.59521913231583,1.0490424516610801,1,15,143.6643697831896,56,142.61331963259727,0.26785714285714285,0.023211688047961365,0.9767883119520386,3.7396140100930073
29,1,146.16492800408741,1.8495284554664977,1,66,149.03446154791163,59,147.18295186263276,1.11864406779661,0.8024499208663314,0.19755007913366862,-1.401677331719372
30,0,151.53508495388087,1.0493024016614072,0,62,153.60442839440657,17,152.55306140508037,3.6470588235294117,0.9933682191221477,0.0066317808778523476,-5.009228032979947
31,1,156.1046381717315,1.1163216995773837,0,72,158.22421280184062,51,157.10657831525896,1.411764705882353,0.9431437728844733,0.056856227115526764,-2.8086929842131374
32,1,160.7244261346641,1.0324139478616416,1,15,162.77694986201823,42,161.7424278697581,0.35714285714285715,0.08354310823232336,0.9164568917676766,2.3951522655664577
33,0,165.277696131845,1.1987503436976112,0,71,167.49689087155275,64,166.2959262121003,1.109375,0.8105834268904364,0.18941657310956359,-1.4538055883587213
34,0,169.99700741446577,1.0492245746427216,0,43,172.0672452726867,7,171.01574593794066,6.142857142857143,0.981050452252602,0.018949547747397967,-3.9468438219833537
35,1,174.5672030011774,1.2656218889169395,0,94,176.8529208424152,46,175.58549076027703,2.0434782608695654,0.9964276319541284,0.003572368045871605,-5.63094782072747
36,0,179.35373822320253,0.9321238151751459,0,40,181.30609942256706,15,180.37201017991174,2.6666666666666665,0.9457925073623203,0.054207492637679676,-2.8592040687288867
37,0,183.80625942215556,1.315600634610746,0,14,186.1255835047923,7,184.80814741773065,2.0,0.70256526178827,0.29743473821173005,-0.8595434626701396
38,0,188.62665609479882,0.8489307285053656,0,95,190.49547892430564,16,189.64479017531266,5.9375,0.9998192827025008,0.0001807172974992737,-8.61839590636412
39,1,192.99651674897177,0.9324928019777872,1,14,194.94848604802974,57,194.0141190776485,0.24561403508771928,0.019037834088532213,0.9809621659114678,3.9421056249246615
40,0,204.47162080800626,1.216055191529449,0,12,206.70633709116373,3,205.48851558275055,4.0,0.737062847489343,0.2629371525106569,-1.030758123518192
41,0,209.20690321322763,0.9824999921256676,0,60,211.20935417042347,40,210.22503373818472,1.5,0.9300561502056599,0.06994384979434011,-2.587552186526804
42,0,213.7096058241441,1.1158622439252213,1,58,215.82912633096566,58,214.71151436283253,1.0,0.6561178134712954,0.3438821865287046,-0.6460412488331407
43,1,218.32968573702965,1.1674445414100774,1,6,220.51676875038538,8,219.34754169470398,0.75,0.47797461721116485,0.5220253827888351,0.08815858371988437
44,0,223.01672173815314,1.3159719918039627,1,60,225.3516605985351,61,224.0340502896579,0.9836065573770492,0.6389614927128875,0.36103850728711256,-0.5708595697369849
45,0,227.85265931219328,0.9986153119243681,1,28,229.85474839364178,41,228.85437703650678,0.6829268292682927,0.2859457047852183,0.7140542952147817,0.9151570537776049
46,0,232.3560923904879,0.7988804767373949,0,62,234.1745319319307,16,233.3738057311857,3.875,0.9939718038192901,0.006028196180709879,-5.105261014731843
47,0,236.67529597954126,1.098747420241125,0,87,238.77828279713867,85,237.6772625921294,1.0235294117647058,0.7577624520342906,0.2422375479657094,-1.1404511008451592
48,1,241.27860042604152,1.865992218896281,0,42,244.16443299292587,39,242.29656621057075,1.0769230769230769,0.6829429871244967,0.3170570128755033,-0.767329772842911
49,0,246.66527170699555,0.8324377305107191,0,45,248.51838849962223,42,247.6836238609976,1.0714285714285714,0.689676367627555,0.3103236323724449,-0.7986067268265209
50,0,251.01822849997552,0.964869219053071,0,71,252.98776220181026,69,252.02056291420013,1.0289855072463767,0.7258445673998124,0.2741554326001876,-0.9736406795992412
51,0,255.4879530161852,0.8128233572351746,1,35,257.32326560409274,62,256.50878654705593,0.5645161290322581,0.10095672240826503,0.899043277591735,2.18663923900906
52,1,259.82378155348124,0.6650544235599227,1,26,261.4928173997323,84,260.8258769559325,0.30952380952380953,0.0051813617723566185,0.9948186382276434,5.257492535268682
53,0,263.99334480590187,0.8824753403314389,0,9,265.8796949024545,7,264.9951889496879,1.2857142857142858,0.581090181787941,0.418909818212059,-0.3272502972713097
54,1,268.37984305020655,0.8995083863264881,0,14,270.2988607236766,8,269.39808221685234,1.75,0.6821154114953492,0.3178845885046508,-0.7635104809182435
55,1,272.79943316674326,0.999215409217868,1,3,274.81880536774406,18,273.8177015678957,0.16666666666666666,0.20296511997596067,0.7970348800240393,1.3678643004781441
56,1,277.31896773772314,0.74890805198811,0,54,279.08817164285574,31,278.33737401507096,1.7419354838709677,0.9433794836316695,0.05662051636833057,-2.813097223815273
57,1,281.58862596272957,1.0994127026060596,0,12,283.7079299762263,9,282.60669880878413,1.3333333333333333,0.6117229215633768,0.3882770784366231,-0.4545602330068154
58,1,286.2101968350471,0.8653699980932288,0,16,288.094273356779,10,287.22667047503637,1.6,0.6866194159361677,0.3133805840638323,-0.7843617835739832
59,0,290.5945957263466,0.9642383070313372,1,6,292.5805197103764,26,291.61438708688365,0.23076923076923078,0.13982403311519154,0.8601759668848085,1.8167522552540147
60,1,302.1030642495025,1.248751607898157,0,32,304.37110588577343,16,303.1206764546805,2.0,0.8711877982238668,0.1288122017761332,-1.9115020223388623
61,0,306.87224682135275,0.9655645260936581,1,24,308.8581644843216,90,307.8906491480884,0.26666666666666666,0.002360290033727064,0.9976397099662729,6.046607691939553
62,0,311.35849238478113,0.8658997746533714,0,86,313.22839807585115,59,312.36025988677284,1.4576271186440677,0.9715529137156105,0.028447086284389553,-3.5308499933146926
