,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio
10,0,41.769432858156506,1.564295799646061,0,51,44.352830652322154,7,42.7870320402435,7.285714285714286,0.9999983566901544,1.6433098456840024e-06,-13.31879650805595,1,43.00193974998547,1.2478178800083697,0,24,45.26906979701016,69,44.01951285806717,0.34782608695652173,1,37.65392331231851,0.31482103338930756,0,4,38.98756071104435,22,38.67108437162824,0.18181818181818182,0,41.77058525139,0.4328637110302225,0,28,43.22177584702149,18,42.78754561964888,1.5555555555555556
11,0,46.85116665496025,0.7146647471818142,1,22,48.584944063273724,31,47.86843833135208,0.7096774193548387,9.780793752689476e-08,0.9999999021920625,16.140260004584363,1,47.76710160257062,0.6313384590903297,0,98,49.41753889573738,73,48.78462888352806,1.3424657534246576,1,41.48568417079514,0.38147337251575664,0,74,42.88607109361328,60,42.50309214327717,1.2333333333333334,1,45.718208445294295,0.5980869561317377,0,19,47.33489961887244,37,46.73560298566008,0.5135135135135135
12,1,51.083027621905785,0.514776470430661,1,10,52.61684998817509,44,52.100558458361775,0.22727272727272727,6.483702463810914e-14,0.9999999999999352,30.36689958684881,1,51.915754009678494,0.6815712686511688,0,82,53.616209594125394,40,52.93307309341617,2.05,0,45.384490454162005,0.08167888323077932,0,41,46.48499873979017,22,46.401694575091824,1.8636363636363635,1,49.833617645606864,0.7811740741599351,0,40,51.633408579276875,93,50.851065914321225,0.43010752688172044
13,0,55.11503507749876,0.8980370993958786,1,78,57.03205288760364,65,56.13242171664024,1.2,3.470497857316346e-06,0.9999965295021427,12.571209029062206,1,56.11522549693473,0.7309562769951299,0,15,57.865148657525424,56,57.132252235431224,0.26785714285714285,1,48.9832035821164,0.3314985379111022,0,98,50.33384678111179,73,50.00061076448765,1.3424657534246576,1,54.13290882698493,0.7959770137676969,0,46,55.94882022897946,40,55.15158099500695,1.15
14,1,59.530257334932685,0.8480089315562509,1,69,61.39715058228467,61,60.54764634446474,1.1311475409836065,7.400724620909571e-07,0.9999992599275379,14.116516993724945,0,60.36322550009936,0.5479066896950826,0,41,61.930374035960995,22,61.38074843533104,1.8636363636363635,0,52.83189201873029,0.5981391041423194,0,24,54.44902566081146,90,53.8493363368907,0.26666666666666666,0,58.44757499638945,0.5295146200223826,0,87,59.98073247488355,76,59.450091535632964,1.144736842105263
15,1,63.898376061813906,1.0813371554249898,1,3,65.99568237719359,18,64.91287954506697,0.16666666666666666,7.699867643484737e-08,0.9999999230013236,16.379477527399608,1,64.42820791591657,0.4813412640360184,0,28,65.92874796444084,82,65.4457612708793,0.34146341463414637,0,56.947111589775886,0.3650194725487381,0,96,58.33104856329737,89,57.96450692031067,1.0786516853932584,1,62.47955677303253,0.598248141061049,0,54,64.09617090970278,31,63.49677551124478,1.7419354838709677
16,0,68.49398914532503,0.5813501924276352,1,58,70.09427935717395,58,69.51140699430835,1.0,3.196235753843979e-08,0.9999999680376425,17.258706921523657,0,68.42884119885275,1.0978218701202422,0,28,70.54382689367048,41,69.44441608781926,0.6829268292682927,1,60.829236418008804,0.49652346229413524,0,32,62.34642078593606,16,61.848326165636536,2.0,1,66.59500152885448,0.7151242032996379,0,12,68.32818911096547,9,67.611873008369,1.3333333333333333
17,0,72.592637088208,0.831247674068436,1,71,74.44288009026786,69,73.61015725805191,1.0289855072463767,9.310719195632089e-09,0.9999999906892808,18.492099489530965,0,73.04202027927386,0.5816796733997762,0,45,74.64256925618974,92,74.05937412841013,0.4891304347826087,0,64.84664676088141,0.38162705121794716,0,35,66.24513422994642,62,65.86198974895524,0.5645161290322581,0,70.8266843232559,0.4482268472202122,0,62,72.29337000550004,17,71.844001036603,3.6470588235294117
18,0,76.94117421639385,0.8147463668137789,1,68,78.77481477562105,63,77.95852490502875,1.0793650793650793,1.2308768604363252e-07,0.999999876912314,15.910368717811318,1,77.14069903688505,0.5315266661928035,0,16,78.69116888305871,10,78.1581058242009,1.6,1,68.74328771431465,0.581495574908331,0,6,70.3438394566765,8,69.76070082263323,0.75,1,74.79187509429175,0.3983855433179997,0,53,76.20882969466038,55,75.80932849884266,0.9636363636363636
19,0,81.27293981559342,0.9645768461050466,0,62,83.25664631050313,17,82.29054136801278,3.6470588235294117,0.9999926126663506,7.387333649304096e-06,-11.81573630598535,0,81.19048621749971,0.7139133409946226,0,40,82.92295162793016,15,82.20748688199092,2.6666666666666665,0,72.84208657051204,0.4791427489835769,0,78,74.32536560931476,65,73.84470701083774,1.2,1,78.7075907830149,0.6813042073044926,0,10,80.40732498595025,44,79.724873126077,0.22727272727272727
20,1,92.78799756959779,1.7969824442407116,0,54,95.60283203504514,31,93.80413818603847,1.7419354838709677,0.2300793575408976,0.7699206424591024,1.2078631655954948,1,92.45374585088575,1.0494012058479711,0,56,94.5210042137187,46,93.47004765225574,1.2173913043478262,1,83.85649484407622,0.34787145029986277,0,54,85.22204409359256,31,84.87263348523993,1.7419354838709677,0,89.9384044429753,0.5310008399537764,0,60,91.48704160068883,70,90.95481251581805,0.8571428571428571
21,1,98.10333652806003,1.2645218535908498,1,42,100.38436363951769,39,99.11823309713509,1.0769230769230769,5.469218937292908e-06,0.9999945307810627,12.116369272749228,1,97.01743286132114,0.6148466333397664,0,46,98.65108558838256,36,98.0347709080088,1.2777777777777777,1,87.72056577494368,0.21484963584225625,0,43,88.95412708487129,97,88.73778569832211,0.44329896907216493,1,93.98570234357612,0.414782949432265,0,82,95.41924713994376,40,95.00322409364162,2.05
22,0,102.88254043250345,0.9311894421116449,1,96,104.83278801734559,89,103.90003847895423,1.0786516853932584,1.8681678426446524e-09,0.9999999981318322,20.098307647785166,0,101.14935443061404,0.6815815402660519,0,77,102.84991470631212,72,102.1667600327637,1.0694444444444444,0,91.45408994908212,0.5644044413929805,0,59,93.03659292985685,65,92.47041426895885,0.9076923076923077,1,97.91772378433961,0.7814936785725877,0,97,99.71775649534538,61,98.93502074462594,1.5901639344262295
23,0,107.33107661263784,0.6148079173290171,1,45,108.96520143770613,92,108.34855530102504,0.4891304347826087,0.0,1.0,inf,1,105.34802512906026,0.514773309987504,0,19,106.88191623595776,37,106.36553226184333,0.5135135135135135,0,95.53447935293661,0.8145812312723137,0,86,97.36806223320309,59,96.55196080676978,1.4576271186440677,0,102.21617585589411,0.4814392392290756,0,41,103.71645239868667,22,103.23373987752711,1.8636363636363635
24,0,111.46305151516572,0.8146278485073708,0,53,113.29673908662517,15,112.48058590723667,3.533333333333333,0.9998693965114916,0.00013060348850835277,-8.94321401806453,1,109.38019930041628,0.58142367383698,0,50,110.98041761119384,62,110.39740934729343,0.8064516129032258,0,99.8663543840521,0.2483429161948152,0,78,101.13365272706142,34,100.8836971714627,2.2941176470588234,1,106.2179172852193,0.6981843782123178,0,54,107.93163546605501,78,107.23220546019729,0.6923076923076923
25,1,115.79501464491477,1.2308041784563102,0,82,118.04523528652498,40,116.8128508636728,2.05,0.9972283020298388,0.0027716979701612036,-5.885519614726621,1,113.47965632844716,0.6309343116008677,0,55,115.12976453569718,95,114.49682291859062,0.5789473684210527,1,103.63191840884974,0.3981070252484642,0,25,105.04894095973577,37,104.64929793693591,0.6756756756756757,0,110.43010341905756,0.7646593348472379,0,53,112.2134451935417,15,111.44757973711239,3.533333333333333
26,1,120.54344131407561,1.1810979854199104,1,15,122.74350815842627,19,121.56091328646289,0.7894736842105263,1.0719494114130868e-05,0.9999892805058859,11.443435874729573,0,117.6277730326401,1.0304110136348754,0,78,119.67782292887568,65,118.64560490567237,1.2,1,107.54815241775941,1.3456658241339028,0,14,109.91412991349353,8,108.5668016722193,1.75,0,114.71205931919394,0.6311974222771823,0,95,116.36219320539385,16,115.72971539007267,5.9375
27,1,125.24274687567959,0.8962676207302138,0,41,127.15904923016205,7,126.26117015519412,5.857142857142857,0.9998253273982943,0.0001746726017057162,-8.652422495798682,0,122.1759693021886,0.3971881130710244,0,87,123.5931644947268,85,123.19433213735465,1.0235294117647058,0,112.41241337300744,0.4794350942247547,0,45,113.91298581653973,60,113.43182944104774,0.75,0,118.86067933123559,0.9980318055604585,0,7,120.87727742845891,54,119.87803120503668,0.12962962962962962
28,1,129.6571924429736,0.8814239898347296,1,14,131.55746282276232,8,130.674434094748,1.75,0.009849907276608394,0.9901500927233916,4.610394498851293,1,126.09119906573324,0.28139175282558426,0,3,127.3917188871419,18,127.10860269254772,0.16666666666666666,1,116.41094572097063,0.7811827655532397,0,53,118.21139956719708,40,117.42851685371716,1.325,1,123.3759729366866,0.9813724738778546,0,14,125.37585639365716,8,124.39324184769066,1.75
29,1,134.0556119615212,1.0478379491250962,1,58,136.12247763364576,58,135.07303494634107,1.0,3.196235753843979e-08,0.9999999680376425,17.258706921523657,1,129.89077350590378,0.4132003347040154,0,52,131.32463040057337,68,130.9091995508643,0.7647058823529411,1,120.70956766884774,0.8978273219545372,0,14,122.62627575109946,57,121.72699776478112,0.24561403508771928,1,127.87428879120853,0.5813987849396653,0,66,129.47452171926852,59,128.89182041783351,1.11864406779661
30,1,138.62085393245798,0.5825017955503426,1,17,140.22170987183927,82,139.63817933719838,0.2073170731707317,0.0,1.0,inf,0,133.82227702159435,0.3810984594747424,0,35,135.22270147519885,62,134.839889240684,0.5645161290322581,0,125.12554054235807,0.6812603555736132,0,38,126.82536007848103,43,126.14238673797809,0.8837209302325582,0,131.9731239930843,0.7647980013280176,0,45,133.75655149581144,92,132.9904233237612,0.4891304347826087
